# Quelle: EDM-Kalibrierung TU Braunschweig
#
# Experiment: Zeiss Elta 2, 29.03.1996
# 
# X: Sollstrecke          [m]
# Y: Abweichung_Soll_Ist  [mm]

  49.9997  3.9 
  99.9930  0.2 
 150.0042  2.6 
 249.9995  2.7 
 350.0043  3.7 
 500.0004  4.4 
 599.9918  6.6 
  49.9932  2.2 
 100.0045 -0.6 
 199.9997  2.5 
 300.0046  2.0 
 450.0007  2.1 
 549.9920  4.8 
  50.0113  3.9 
 150.0066  5.4 
 250.0114  4.0 
 400.0075  4.9 
 499.9988  7.6 
  99.9953 -1.0 
 200.0001  3.3 
 349.9962  4.4 
 449.9876  5.6 
 100.0049  2.3 
 250.0009  6.3 
 349.9923  7.3 
 149.9961  4.1 
 249.9874  6.8 
  99.9914  2.4 
  
